地    区,Region,"年末总户数
(户)  
Total ouseholds
at Year-end
(household) ","年末总人口
(人) 
 Total Population
at Year-end              (person)",,,"出生人数
(人)
Birth 
Population      
(person)","出生率
(‰)                Birth 
Rate                 (‰)","死亡人数
(人)           
Death  Population         (person)","死亡率
(‰)             Death 
Rate                            (‰)","自然增长
人数
(人)
Natural Growth     Population     (person)","自然增长率
(‰)
Natural 
Growth 
Rate          
(‰)","迁入人数
(人)
Number of the Transferred From Outside (person)","迁出人数
(人)
Number of the    Transferred to    Outside (person)"
,,,,"男               
Male","女              
  Female",,,,,,,,
全    市,Whole City,2 657 821,7 862 196,3 791 438,4 070 758,46 910,6.01,69 363,8.89,-22 453,-2.88,164 281,26 985
   姑苏区,    Gusu District,296 546,749 602,361 476,388 126,3 361,4.48,9 747,12.99,-6 386,-8.51,11 901,3 144
   吴中区,    Wuzhong District,251 001,783 182,378 202,404 980,5 842,7.54,6 048,7.8,-206,-0.27,19 316,2 170
   相城区,    Xiangcheng District,162 908,510 957,247 065,263 892,3 854,7.64,4 062,8.05,-208,-0.41,14 937,1 642
   虎丘区、高新区,"    Huqiu District, High-tech Zone",165 001,498 336,243 206,255 130,3 766,7.68,3 032,6.18,734,1.5,11 136,2 085
   工业园区,    Industrial Park,211 562,626 902,305 920,320 982,3 966,6.36,3 120,5,846,1.36,9 820,4 318
   吴江区,    Wujiang District,304 596,919 023,446 564,472 459,5 927,6.49,8 856,9.7,-2 929,-3.21,15 515,1 720
   常  熟,    Changshu,319 190,1 051 019,507 833,543 186,3 780,3.59,12 482,11.84,-8 702,-8.26,4 574,1 218
   张家港,    Zhangjiagang,314 691,924 261,449 465,474 796,3 495,3.78,9 557,10.32,-6 062,-6.55,4 676,1 452
   昆  山,    Kunshan,447 284,1 256 463,594 552,661 911,10 332,8.4,6 827,5.55,3 505,2.85,58 199,7 500
   太  仓,    Taicang,185 042,542 451,257 155,285 296,2 587,4.81,5 632,10.47,-3 045,-5.66,14 207,1 736
